"Materialnummer","Vorgangsfolge","Anzahl"
989,"0010 -> 0020 -> 0030",5
990,"0010 -> 0020 -> 0030",1
991,"0010 -> 0020 -> 0030",6
992,"0010 -> 0020 -> 0030",2
993,"0010 -> 0020",19
993,"0005 -> 0010 -> 0020",1
994,"0010 -> 0020",2
995,"0010 -> 0020",189
996,"0010 -> 0020",19
997,"0010 -> 0020",6
998,"0010 -> 0020",4
999,"0010 -> 0020",1
1000,"0010 -> 0020",57
1001,"0010 -> 0020",52
1002,"0010 -> 0020",1
1003,"0010 -> 0020 -> 0030",1
1004,"0010 -> 0020",75
1005,"0010 -> 0020",23
1006,"0010 -> 0020",4
1007,"0010 -> 0020",2
1008,"0010",3
1009,"0010",14
1010,"0010",2
1011,"0010",6
1012,"0010",4
1013,"0010",14
1014,"0010",8
1015,"0010",20
1016,"0010",70
1017,"0010",24
1018,"0010",4
1019,"0010",7
1020,"0010",11
1021,"0010",9
1022,"0010",23
1023,"0010",10
1024,"0010",2
1025,"0010",12
1026,"0010",3
1027,"0010",4
1028,"0010 -> 0020 -> 0030",3
1029,"0010 -> 0020",3
1030,"0010 -> 0020",4
1031,"0010 -> 0020",5
1032,"0010 -> 0020",1
1033,"0010 -> 0020",2
1034,"0010 -> 0020",15
1035,"0010 -> 0020",12
1036,"0010 -> 0020",1
1037,"0010 -> 0020",3
1038,"0010 -> 0020",7
1039,"0010 -> 0020",3
1040,"0010 -> 0020",7
1041,"0010 -> 0020",8
1042,"0010 -> 0020",1
1043,"0010 -> 0020",26
1044,"0010 -> 0020",10
1045,"0010 -> 0020",10
1046,"0010 -> 0020",9
1047,"0010 -> 0020",5
1048,"0010 -> 0020",5
1049,"0010 -> 0020",1
1050,"0010 -> 0020",1
1051,"0010 -> 0020",33
1052,"0010 -> 0020",19
1053,"0010 -> 0020",9
1054,"0010 -> 0020",42
1055,"0010 -> 0020",19
1056,"0010 -> 0020",13
1057,"0010 -> 0020",10
1058,"0010 -> 0020",10
1059,"0010 -> 0020",5
1060,"0010 -> 0020",17
1061,"0010 -> 0020",50
1062,"0010 -> 0020",4
1063,"0010 -> 0020",16
1064,"0010 -> 0020",6
1065,"0010 -> 0020",6
1066,"0010 -> 0020",1
1067,"0010 -> 0020",4
1068,"0010 -> 0020",2
1069,"0010 -> 0020",16
